Employee_ID,Name,Department,Role_Title,Age,Gender,Tenure_Years,Engagement_Score,Workload_Score,Exit_Interview_Feedback,Reason_For_Turnover,Knowledge_Dependency_Level,Key_Project_Participation,Productivity_Impact_Score,Performance_Score,Internal_Mobility_Participation,Learning_Development_Plan,Remote_Work_Status,Flexibility_Satisfaction,Recognition_Received,Predicted_Turnover_Risk,Retention_Action_Taken,Last_Engagement_Check,Voluntary_Turnover,Employee_Category,Tenure_Category,Engagement_Level,Performance_Level,Total_Employees,Is_High_Risk,Is_Turned_Over,Is_Remote,Is_Recognized,Engagement_Percentage,Performance_Percentage,Flexibility_Percentage,Retention_Success
1001,Employee_1001,Marketing,Executive,45,Female,17.7,0.44,0.7,Cultural Issues,Burnout,Medium,No,4,2.9,No,No,No,10,9,Medium,Promotion Offered,2024-01-01,Yes,36-45,10-20 yrs,Medium,Average,1,No,Yes,No,Yes,44.0,58.0,100,No
1002,Employee_1002,Sales,Analyst,23,Female,12.3,0.36,0.37,Burnout,Relocation,High,Yes,5,3.1,Yes,Yes,Yes,10,5,High,Mentorship,2024-01-02,No,18-25,10-20 yrs,Low,Average,1,Yes,No,Yes,Yes,36.0,62.0,100,Yes
1003,Employee_1003,Hr,Executive,41,Female,17.3,0.3,0.95,Lack of Growth,Compensation,Low,No,0,4.4,Yes,Yes,Yes,9,4,High,Mentorship,2024-01-03,Yes,36-45,10-20 yrs,Low,High,1,Yes,Yes,Yes,Yes,30.0,88.0,90,No
1004,Employee_1004,Sales,Executive,55,Non-Binary,0.8,0.39,0.54,Cultural Issues,Better Opportunity,High,No,7,2.2,No,Yes,No,10,8,Medium,Training,2024-01-04,Yes,46-55,<2 yrs,Low,Low,1,No,Yes,No,Yes,39.0,44.0,100,No
1005,Employee_1005,Sales,Executive,47,Female,2.6,0.71,1.0,Lack of Growth,Compensation,Low,Yes,10,4.0,Yes,No,No,7,12,Medium,Mentorship,2024-01-05,No,46-55,2-5 yrs,High,High,1,No,No,No,Yes,71.0,80.0,70,Yes
1006,Employee_1006,Finance,Analyst,28,Non-Binary,2.3,0.56,0.99,Lack of Growth,Relocation,Low,Yes,2,2.7,No,No,Yes,7,12,Medium,Salary Adjustment,2024-01-06,No,26-35,2-5 yrs,Medium,Average,1,No,No,Yes,Yes,56.0,54.0,70,Yes
1007,Employee_1007,Hr,Analyst,59,Female,14.4,0.64,0.85,Work-Life Balance,Personal Reasons,High,No,6,3.1,Yes,No,Yes,6,14,Medium,Promotion Offered,2024-01-07,No,56-65,10-20 yrs,Medium,Average,1,No,No,Yes,Yes,64.0,62.0,60,Yes
1008,Employee_1008,Hr,Intern,51,Male,1.9,0.3,0.31,Work-Life Balance,Compensation,Medium,Yes,6,2.0,Yes,Yes,Yes,9,12,High,Training,2024-01-08,Yes,46-55,<2 yrs,Low,Low,1,Yes,Yes,Yes,Yes,30.0,40.0,90,No
1009,Employee_1009,Hr,Manager,26,Male,10.2,0.84,0.68,Management Conflict,Better Opportunity,Medium,No,8,2.9,No,No,Yes,6,1,High,Promotion Offered,2024-01-09,Yes,26-35,10-20 yrs,High,Average,1,Yes,Yes,Yes,Yes,84.0,58.0,60,No
1010,Employee_1010,Sales,Manager,32,Female,9.7,0.83,0.36,Management Conflict,Better Opportunity,Low,Yes,10,2.5,No,Yes,No,8,5,High,Mentorship,2024-01-10,Yes,26-35,5-10 yrs,High,Low,1,Yes,Yes,No,Yes,83.0,50.0,80,No
1011,Employee_1011,Marketing,Intern,22,Male,6.6,0.22,0.93,Work-Life Balance,Personal Reasons,Medium,Yes,10,3.5,No,No,No,9,12,Medium,Promotion Offered,2024-01-11,Yes,18-25,5-10 yrs,Low,Average,1,No,Yes,No,Yes,22.0,70.0,90,No
1012,Employee_1012,Hr,Intern,55,Non-Binary,17.5,0.51,0.85,Work-Life Balance,Better Opportunity,Low,Yes,6,2.5,No,No,No,10,9,High,Mentorship,2024-01-12,Yes,46-55,10-20 yrs,Medium,Low,1,Yes,Yes,No,Yes,51.0,50.0,100,No
